Producto;Descripcion;Unidad;C. UNIT; C. UNIT.2 
25.2.05.110.0233;"BRONCE SAE 65 ø 1"" X 500 MM";UND;239.66 ;239.66
13.30.06.01.003;RELE TERMICO 40 - 57 A ZB65-57 XT0B057DC1 EATON;UND;241.00 ;241
15.80.15.349003;"AUGER, COUPLING SHAFT  6""& 9"" (349003)";UND;241.84 ;241.8439998
606.01.403;TINTA P/PLOTTER HP  (Nº 72) NEGRO FOTOGRAFICO C9370A;UND;242.05 ;242.045
801.15.7047;ELETRODO RS 44 / RS 34 (29) COD. RIELLO = 3014037;UND;242.62 ;242.62
12.46.01.120.175;JUEGO DE MACHO M12 X 1.75;UND;242.79 ;242.79006
409.099.018;Cadena Paso 1” DOBLE Asa 80-2R X 10 FT;UND;244.68 ;244.68
603.03.997;ESPARRAGO M24 X 2MM X 1MT;UND;245.51 ;245.505
25.1.20.032.0668;"ACERO  VCL  Ø 1"" 7/8  x 1000 mm";UND;245.60 ;245.6
12.48.004;KIT DE SELLOS DE BOMBA HIDRAULICA MANUAL P16;UND;246.22 ;246.22
15.80.12.200076;ELEV FEED TUBE SLEEVE (200076);UND;246.66 ;246.6575
801.15.4023;JUNTA DE TAPAS DE VALVULAS -922200;UND;247.78 ;247.775
603.04.128;"DIVISOR NEUMATICO 4 SALIDAS MANGUERA N°8 - CONEXION 1/4"" NPT ROSCA G";UND;248.27 ;248.27
603.010.013;BOQUILLA GRACO GRIS 2-13;UND;248.30 ;248.3
603.010.015;BOQUILLA GRACO GRIS 2.15;UND;249.24 ;249.2433333
13.30.02.15.200;CONTACTOR QCC 15-200A / 24V;UND;249.48 ;249.48
20.90.49.001;PHOTOELECTRICITY SWITCH OB500-M18GM60-E4;UND;249.71 ;249.71
603.010.016;BOQUILLA GRACO GRIS 1.13;UND;249.72 ;249.715
603.01.809.01;BARRA DE CONEXIÓN CÓDIGO: 9SM19611-6 BRONCE;UND;250.00 ;250
603.010.017;BOQUILLA GRACO GRIS 2-17;UND;250.15 ;250.145
801.15.1766;Motor Axial Ventilador AC 220V 50/60Hz 0.4A / 80W / 2P (modelo 200Fzy6-S FC);UND;250.60 ;250.6
604.04.342.01;ESTACION DE CONTROL XAL D324 ,  1 NC + 2 NA , MARCA TELEMECANIQUE;UND;252.17 ;252.172
20.90.48.002;Electric current transformer  WBI222;UND;252.43 ;252.43
606.01.365;CABEZAL HP P/ PLOTTER COLOR NEGRO - MATE -AMARILLO COD C9384A;UND;255.68 ;255.6841667
20.96.02.003;VALVULA NEUMATICA 5/3 CA;UND;257.12 ;257.12
602.03.958.07;"ACOPLE DE CADENA KC -5016  ( 5/8"")";UND;257.15 ;257.1533333
604.04.357.01;RELE CONTROL DE FASE RM17TG SCHNEIDER;UND;257.47 ;257.47
801.15.4861;SOLVENTE DIELECTRICO ECOLOGICO BIDON 5GL;UND;257.62 ;257.615
25.1.40.050.0900;ACERO VCN Ø 50 X 900 MM;UND;259.11 ;259.105
603.02.431;Electrodo para Quemador RS44 Cod:3014037;UND;260.47 ;260.47
603.02.431.03;Electrodo de Ignicion - 3014037;UND;261.80 ;261.8
20.10.002;PUNZON CIEGO ESTACION B - PUNZONADORA;UND;262.67 ;262.67125
603.04.013;CILINDRO NEUMATICO DOBLE EFECTO Ø63 X 125 C/AMORTIGUACION E IMAN;UND;262.71 ;262.7125
12.46.01.160.200;JUEGO DE MACHO M16 X 2;UND;264.92 ;264.92
20.24.01.001;COUNTER TIMER 6 DIGITOS C17;UND;266.57 ;266.57
801.15.2134;Fusible cartucho HH 12kV 50A 63kA 292mm;UND;267.02 ;267.02
13.97.03.002;CONMUTADOR 403 3 POSICIONES -  603603;UND;267.50 ;267.4998997
606.01.888;TINTA HP Nº 72 P/PLOTTER NEGRO MATTE C9403 A;UND;267.91 ;267.9119898
801.15.4027;ACELERADOR DE CABLE - 8020125;UND;269.12 ;269.12
12.68.05.007;CONECTOR P/REGULADOR DE OXIGENO, C/TUERCA HEXAGONAL Y NIPLE CGA-540, 200BAR, 1/4 NPT, BRONCE;UND;272.41 ;272.405
604.07.061;lampara led magnetica articulada para torno;UND;275.93 ;275.93
602.02.624;Sensor tipo réflex, Modelo: VR-800P ó VR-800N, Marca: OPTEX - FA;UND;276.27 ;276.272
801.15.7048;SONDA RS 44 / RS 34 (28) COD. RIELLO = 3013725;UND;277.28 ;277.28
603.05.944;PIÑON DE 24 DIENTES  Ø 52 mm;UND;279.23 ;279.225
605.03.579;ELEMENTO SILENCIADOR 1.1/2;UND;279.38 ;279.38
603.01.023.1;TOBERA SUPERIOR  (SOLDADURA PUNTO);UND;280.00 ;280
801.15.2111;HE1AN-DC24V PANASONIC- RELE ELECTROMAGNETICO;UND;281.30 ;281.3
12.46.03.580.110;"JUEGO DE MACHO UNC 5/8"" X 11";UND;281.30 ;281.3
605.03.586;ELEMENTO FILTRO DE AIRE IRN 50-60, COD.54672522;UND;281.76 ;281.76
25.47.01.002;BIDON DE SIGMADEX X 25 KG.;UND;290.19 ;290.19
801.15.1745;ESCÁNER LASER INALAMBRICO;UND;292.21 ;292.2113333
603.01.464;"CERAMIC PART BT B2"" CON, PART.29100268";UND;293.62 ;293.6205
801.15.2135;Fusible cartucho HH 12kV 80A 63kA 292mm;UND;295.13 ;295.126667
15.50.01.003;CILINDRO NEUMÁTICO CDQ2B80-150;UND;295.93 ;295.93
603.04.040;EJE ACTUADOR NEUMATICO -2;UND;300.00 ;300
606.01.350;CABEZAL HP P/ PLOTTER COLOR GRAY - PHOTOBLACK COD;UND;300.40 ;300.4
604.04.322;CONTROLADOR  DE TEMPERATURA;UND;302.93 ;302.929246
28.03.20.402;Disco duro SSD M.2  1TB;UND;303.29 ;303.288
603.02.431.02;Electrodo de Ionizacion - 3013725;UND;303.92 ;303.92
604.07.002;REFLECTOR PHILIPS HIGH BAY MDK112 HP I  400W;UND;304.05 ;304.05
801.01.376.01;PISTOLA SH-TI ART.8966 COD. 028.0010;UND;308.18 ;308.18
20.29.01.003;"Valvula de seguridad 160 PSI Modelo SF50, Rosca 1/2"" BSP";UND;313.56 ;313.56
606.01.349;CABEZAL HP P/ PLOTTER COLOR MAGENTA-CYAN COD C9383;UND;314.20 ;314.2
606.02.271;ROLLO DE PLASTICO AZUL DOBLE ANCHO X 50 kg.;UND;314.94 ;314.94
605.03.596;"SILENCIAR ATOMUFFLER 1 1/2"", SYSADVANCE, CÓD.CP388003";UND;315.67 ;315.668
20.90.52.012;SEEGERRING FOR AXIS - 23101012;UND;316.13 ;316.126667
603.01.937;PISTOLA SAGOLA DE  ALTA PRESION;UND;316.30 ;316.3004733
20.11.003;MATRIZ CIEGA ESTACION C - PUNZONADORA;UND;317.60 ;317.6
602.04.016;CE MOTOR ARRASTE 353/403/283;UND;317.78 ;317.784303
15.67.01.045;RUEDA Ø 90MM, ESPESOR 40MM, Ø INTERNO 20MM Y CANAL PARA CHAVETA;UND;319.93 ;319.9275
28.02.12.044;MEMORIA RAM DDR4;UND;321.92 ;321.922
603.01.298;JUNTA DE PLACA DE FLUIDIZACION;UND;323.34 ;323.34
607.01.059;VISUALIZADOR T4WM-N3NJ5C;UND;323.35 ;323.35
602.01.045;MASCARA PANORAMICA C/VISOR P/PINTURA;UND;325.00 ;324.995
603.01.023.2;TOBERA INFERIOR (SOLDADURA PUNTO);UND;325.00 ;325
801.02.134;JUEGO DE BROCAS MILIMETRICAS DE 1mm HASTA 13mm (25 pz);UND;325.75 ;325.75175
21.72.03.001;"POLEA FIERRO FUNDIDO 10 1/2"" X 4B";UND;329.00 ;329
602.02.534.01;GATILLO MOD. 1001 341    (COMPLETO);UND;329.99 ;329.9875
801.15.1251;BATERIA 12VX18AH;UND;341.41 ;341.405
801.15.3879;FILTRO EXTERIOR SPEED-BEND PRO 2600X60;UND;342.28 ;342.28
801.15.2166;SIMATIC S7-1200 POWER MODULE PM1207 COD. 6EP1332-1SH71;UND;342.80 ;342.8
15.80.17.340003;"BEARING FLANGE 1 3/4"" 4-BOLT (340003 )";UND;343.92 ;343.92
20.90.48.001;ELECTRIC CURRENT SENSOR CE-IM04;UND;349.60 ;349.596
89.03.046.003.15;PIEDRA PARA RECTIFICADORA A46 K3 V15;UND;352.26 ;352.2613333
13.30.04.220.01;CONTACTOR  DE 24 VAC -32 A - TRIFASICO - RIEL DIN;UND;354.24 ;354.24
20.77.01.001;BEARING 22216 E - ROLL FORMING;UND;355.96 ;355.9575732
801.15.1623;CHECK VALVE G1/8 6X4 NOZZLE0,7 / Cod.2204154601 (GA 22P);UND;356.86 ;356.86
15.50.11.320.0200;CILINDRO NEUMATICO DE DOBLE EFECTO C/IMÁN Ø 32MM X 200MM;UND;357.12 ;357.12
20.90.33.004;SPROCKET - MOTOR (349184) 20D;UND;364.30 ;364.3
RPTS01S10000532;UNIDAD FR+L QBM4 1/2 10BAR 40M       ;UND;364.71 ;364.705933
20.90.69.001;Coupled connector A  WAP;UND;370.21 ;370.21
20.90.69.002;Coupled connector B  WAP;UND;370.21 ;370.21
20.90.52.001;LIFTING ECCENTRIC COMPONENTS 84 X 38.5 MM;UND;372.42 ;372.4225003
15.67.04.017;LENTE DE ENFOQUE P/SOLDADURA LASER, duración 2 Años(Focus lens);UND;373.34 ;373.335
20.82.01.112.121;"CADENA PASO 1 1/2"" SIMPLE ASA  120-1R";UND;380.62 ;380.6214286
21.72.03.008;"POLEA FIERRO FUNDIDO CANAL V 4"" x 2A";UND;381.86 ;381.86
602.02.612;SENSOR LASER BGS - PNP OPTEX FA ZL-30;UND;382.50 ;382.5
20.90.35.006;CLAMP MANUAL – VERTICAL HOLD/DOWN CLAMP – 210 U;UND;384.53 ;384.525
801.14.002;TORTUGA P/DESPLAZAMIENTO DE 12TN;UND;389.83 ;389.83
20.96.01.005;VALVULA DE ALIVIO DE PRESION Y/O SEGURIDAD MECANICA RANGO DE 0 A 10 BAR;UND;391.53 ;391.53
20.90.33.002;SPROCKET - AUGER (349381) 21D;UND;392.88 ;392.8771998
20.10.02.50.001;PUNZÓN RD 50 – PUNZONADORA;UND;392.90 ;392.895
26.17.10.004;CORTINA PARA PROTECCION DE SOLDADURA 4.2m x 65cm;UND;394.21 ;394.21
801.15.1486;Piñón 10 dientes, acero VCN c/ tmto, chaveta 2 mm x 20mm. Med: Ø 60mm exterior, Ø 25mm int. esp 20mm;UND;400.00 ;400
15.15.05.008;VALVULA REGULADORA DE CAUDAL 3/8;UND;403.43 ;403.43
801.15.3881;FILTRO SUMERGIBLE SPEED-BEND PRO 2600X60;UND;414.34 ;414.34
801.15.1641;RETEN NEUMATICO DE=459MM, DI=433.8MM, ALT=13.8MM (PR-029);UND;415.26 ;415.255
ACCCMP101000168;CERDAS DE LIMPIEZA PARA RANGER;UND;415.85 ;415.84725
605.03.667;PRESOSTATO PEV- 1/4  B-M12-5A RANGO 1-12BAR MARCA FESTO;UND;416.76 ;416.7566667
RPTS01S10000072;"FILTRO REGULADOR FR IND 3/4"" NPT";UND;425.00 ;424.9981358
801.15.2150;"Single Sprocket Z18 1 1/4""";UND;425.62 ;425.616667
28.06.07.223;PULPO MENEKE 32 AMP;UND;429.29 ;429.2857143
20.82.02.114.102;"CADENA PASO 1 1/4"" DOBLE ASA  100-2R";UND;438.93 ;438.925
801.15.4020;JUNTA DE TAPA DE VALVULA - 3675433;UND;439.47 ;439.47
20.90.47.001;DC POWER JLZ100-24S24;UND;439.50 ;439.5
801.15.4014;CUBIERTA BALANCIN DERECHO - 922764;UND;444.11 ;444.11
20.77.01.002;BEARING  22218 - ROLL FORMING;UND;445.59 ;445.5904788
18.33.004.12;ANTORCHA (WELDING TORCH );UND;449.94 ;449.94
20.90.24.006;MOTOR PULLEY (349175);UND;462.73 ;462.7326
12.61.05.920.900;"Esmeril de 9"" GWS 22-230 Bosch";UND;468.18 ;468.1769231
801.01.108;MAQ. ENZUNCHADORA (TENSIONADORA/TENAZA);UND;469.23 ;469.2324998
801.15.4875;CONMUTADOR 5 POSI. Ø 85X150 MM 600V 40A;UND;474.58 ;474.575
15.85.02.002;BRAZO DE BOBINADOR LADO DERECHO;UND;477.55 ;477.546667
15.85.02.001;BRAZO DE BOBINADOR LADO IZQUIERDO;UND;477.55 ;477.546667
15.50.01.50.0011;CILINDRO NEUMATICO SC 50 X 300  AIRTAC;UND;483.13 ;483.125085
21.36.12.370.710;FILTROS DE AIRE TAPA Y ANILLO Ø E370 Ø I267 H710 MM;UND;487.60 ;487.6
20.90.47.002;DC Module  DDF100;UND;492.61 ;492.61
20.90.53.001;AL-FEET SHELL BEARING 140 X 28 MM;UND;492.74 ;492.7387498
20.90.54.002;A-DRIVING  AL-FEET SHELL BEARING 140 X 26 MM;UND;492.78 ;492.7812503
20.90.12.004;DRIVE END SHAFT (349001);UND;493.13 ;493.125
605.03.603;LLANTA 7.00 X 12.;UND;503.37 ;503.365
15.41.01.013;Válvula reguladora-completamente montado 1000064 GEMA;UND;508.06 ;508.055
13.44.07.001;SENSOR RETROFLECTIVO JR-SQ50PW –OPTEXFA – 24VDC;UND;508.23 ;508.23
20.90.63.002;Connector B for Double-Row Chains  WAP;UND;511.59 ;511.59
20.90.63.001;Connector A for Double-Row Chains  WAP;UND;511.59 ;511.59
20.90.52.010;Lifting Rocker  185x92;UND;523.40 ;523.395
801.01.753;CIRCUITO ELECTRÓNICO (DISPLAY) W000232578;UND;530.13 ;530.1282
20.90.41.001;"ELEV DRUM PULLEY LAG KIT 12"" DIA  (304320)";UND;532.12 ;532.12
801.15.5084;CILINDRO COMPACTO ADN-40-80-A-P-A FESTO;UND;532.48 ;532.48
20.90.33.001;SPROCKET - AUGER (349186);UND;533.14 ;533.1390909
604.05.456;PATIN DE BOLAS RECIRCULANTES HSR-35-A1SS(GK) THK;UND;536.27 ;536.27
26.22.03.30.004;LLANTA P/MONTACARGA 7.00-12 12 PR H.T. NYLON BRIDGESTONE  ;UND;543.56 ;543.55626
21.04.2.1160;QUEMADOR ENLOSADO C/CERAMICA NEGRA ESP 1.16;UND;550.00 ;550
13.28.02.800.006;TRANSFORMADOR DE AISLAMIENTO CON LINEA NEUTRA 1,5KW;UND;561.17 ;561.17
20.10.04.015;ENSAMBLE DE PORTAPUNZON ESTACION A;UND;563.11 ;563.108
13.44.04.002.1;"SENSOR TERMOCUPLA TIPO ""K"" C/CABEZAL DE ALUMINIO 3/8"" X 300MM";UND;568.83 ;568.83
605.03.586.2;ELEMENTO FILTRO DE ACEITE CET 01;UND;579.19 ;579.19
20.90.36.001;TORQUE ARM-GEAR REDUCER (349514);UND;580.61 ;580.61
606.03.024;RODAMIENTO 6319 LYC;UND;582.35 ;582.35
15.80.15.349004;"AUGER, INTERNAL SLEEVE 6 & 9 "" (349004)";UND;589.13 ;589.13
602.03.1072;BRONCE SAE 64 - Ø75x 110mm;UND;590.41 ;590.41375
604.05.400;TRANSFORMADOR DE ALTA DE 8000 VOLTIOS;UND;590.86 ;590.86
15.80.15.101166;"AUGER, HARDENED OVERLAY, 9"" AUGER RH 18"" LONG (101166)";UND;607.67 ;607.665
20.90.70.001;Laser Swtich M100;UND;630.78 ;630.775
603.02.484.03;CHILLER FILTER ELEMNT;UND;631.50 ;631.5
13.30.01.038.221;CONTACTOR  LC1D65 SCHINAIDER;UND;652.60 ;652.6
21.36.11.651.1;JUEGO DE PURGA AUTOMATICA - 2901056300;UND;654.12 ;654.12
801.15.4013;CUBIERTA BALANCIN IZQUIERDO - 923649;UND;654.55 ;654.55
20.90.50.001;PROXIMITY SWITCH NBNB-12GM50-EO;UND;655.78 ;655.7796665
20.90.52.002;LIFTING LOCALIZATION AXLE SLEEVE Ø 100 X 50MM;UND;655.86 ;655.85625
603.01.895;MALLA DE ACERO INOX 2400mm x 1200mm (cocada 25mmx15mm espe.1mm);UND;657.47 ;657.47
801.07.014;"ACOPLAMIENTO FLEXIBLE  Ø 2 1/2"" TIPO CRUCETA";UND;659.40 ;659.4
28.11.03.002;Tarjeta de video MSI NVIDIA GeForce GTX 1050 TI, 4GB GDDR5;UND;659.65 ;659.65
13.32.02.20.002;GUARDAMOTOR DE 30A-40A /3 SCHENEIDER ELECTRIC (CON CONTACTOS AXILIARES);UND;685.56 ;685.56
801.15.2171;SIMATIC S7-1200, DIGITAL INPUT SM 1221, 16 DI, 24 V DC, SINK/SOURCE COD. 6ES7221-1BH32-0XB0;UND;704.43 ;704.43
801.15.4177;ELECTROVALVULA 4/3 CENTRO CERRADO 24 VDC;UND;705.00 ;705
15.19.025;LINEAL BEARING (LMF 50) (rodamiento lineal);UND;707.85 ;707.85
801.15.4991;SWITCH 6 POLES 32A K60/12 D 22,5 KEMPPI;UND;738.03 ;738.03155
801.15.1681;FX3U-485ADP-MB - FX3U RS485 ( Ref : RG00228 );UND;738.71 ;738.7133333
602.02.976.1;GANASCIA MORSA MOBILE SH336HH  COD:007.4173;UND;741.02 ;741.02
20.53.02.121.220;Electroválvula hidráulica 4/3 bobina 220v con centro cerrado DSG-3C2-N-01 HYSTAR;UND;750.83 ;750.83
20.10.004;PUNZON CIEGO ESTACION D - PUNZONADORA;UND;761.44 ;761.43625
605.03.484;VALVULA SELONOIDE 2 /2 230VAC, EATON;UND;773.95 ;773.95
602.02.976.5;GANASCIA MORSA FISSA DESTRA SH 330 HH;UND;792.82 ;792.82
28.03.20.404;Disco Duro IBM 1TB 7.2K 6Gbps;UND;803.44 ;803.44
13.31.01.030.220;VARIADOR DE FRECUENCIA DE 03HP  220VAC MODELO VFD022E23A  MARCA DELTA;UND;812.43 ;812.4333333
21.3614.370.711;FILTRO CARTUCHO GW224 - 1000;UND;826.08 ;826.084667
603.01.700;UNIDAD DE FILTRADO COMPLETO (GEMA 1001 147);UND;841.06 ;841.06
603.02.436;TURBINA para quemador rs44 COD.3013722;UND;855.83 ;855.83
603.02.505;CENTRO GIRATORIO CONO Nº 5;UND;857.40 ;857.4
801.15.4983;MALLA CERRAMIENTO 30 X 27MM VERDE DE 2 X 30 MT;UND;860.00 ;860
801.15.2149;"Double Sprocket Z18 1 1/4""";UND;863.04 ;863.036667
409.19.721;RODAMIENTO DE RODILLOS 22222 E  MARCA SKF;UND;880.25 ;880.25
13.98.01.016;CUADRO ELECTRONICO PARA RAMPA HIDRA OV RS200L;UND;884.08 ;884.08
603.04.016.1;ELECTROVALVULA  MARCA CEME - SERIES 5 CL 7,5 12VDC -7W-100PSI/TF 145°C /5563NB1;UND;885.98 ;885.98
801.15.4021;CORREA TENSORA -923230;UND;901.29 ;901.29
801.15.4016;DISTRIBUIDOR -928584;UND;921.15 ;921.15
603.02.144.01;RODAMIENTO NU319 LM;UND;960.53 ;960.525
603.05.029;PLACA DE FLUIDIZACION GEMA-390151;UND;972.72 ;972.72
15.15.05.011;VALVULA REGULADORA COMPLETA CP: 1001064;UND;992.19 ;992.19
20.90.66.001;Display  CMD4A2;UND;1,018.88 ;1018.88
605.03.402.4;FILTER REGULATOR AIRTAC BFR 400  COD: 42191135;UND;1,021.62 ;1021.615
20.90.08.001;BLADES B-49 ( 202121 );UND;1,039.53 ;1039.532857
603.04.095.01;MOLLA RICHIAMO TESTA (COD: 010.0954);UND;1,075.59 ;1075.59
603.01.360;ANTORCHA MIG/MAG 400 AMP LIGTNING WE4015-45-2;UND;1,077.17 ;1077.166011
15.80.15.241019;AUGER, HARD BEARING-OLD STYLE (241019);UND;1,105.31 ;1105.305
801.15.2169;SIMATIC S7-1200, DIGITAL I/O SM 1223, 16 DI/16 DO, 16 DI 24V DC, SINK/SOURCE, 16 DO, RELAY 2 A;UND;1,105.51 ;1105.5125
603.02.119;Cable de Pistola completo (1001528) GEMA;UND;1,128.93 ;1128.93
604.04.076.01;SCR - 250 A - TT250N16K0F;UND;1,160.00 ;1160
20.90.34.001;TAIL END SHAFT (349002);UND;1,167.29 ;1167.292111
602.02.976.4;GANASCIA MORSA FISSA SINISTRA SH 330 HH COD : 007.4174;UND;1,183.25 ;1183.25
602.22.022;CATALIZADOR CON MANTO CERAMICO Y MALLA FIBRA DE VIDRIO COD.110-3-29;UND;1,186.02 ;1186.018
203.01.003;CILINDRO CON THINNER ACRILICO X 55 GL;UND;1,197.08 ;1197.083333
20.90.61.001;Transmission Axis-II  W1200;UND;1,211.64 ;1211.64
26.22.07.30.001;LLANTA DELANTERA KKUMHO 300-15 18 PR;UND;1,248.71 ;1248.70939
18.33.004.08;PANEL DE CONTROL ( CONTROL PANEL - LEFT -RIGHT );UND;1,252.67 ;1252.665
20.90.24.023;MOTOR 3.7KW/220VAC/60HZ - 3PH/1715RPM - MARCA WEG;UND;1,274.86 ;1274.86
